"Input";"Wdth";"hight";"Timestamp";"Number";"Date";"Key"
Kamera 1; videowdth 1280; videohight 960; 1508923381.72; Nummer 272; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.8; Nummer 273; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.88; Nummer 274; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.97; Nummer 275; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.05; Nummer 276; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.13; Nummer 277; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.21; Nummer 278; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.29; Nummer 279; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.37; Nummer 280; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.45; Nummer 281; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.53; Nummer 282; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.61; Nummer 283; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.69; Nummer 284; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.77; Nummer 285; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.85; Nummer 286; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923382.92; Nummer 287; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.01; Nummer 288; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.09; Nummer 289; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.17; Nummer 290; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.25; Nummer 291; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.33; Nummer 292; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.41; Nummer 293; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.49; Nummer 294; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.57; Nummer 295; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.64; Nummer 296; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.72; Nummer 297; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.8; Nummer 298; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.87; Nummer 299; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923383.95; Nummer 300; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.03; Nummer 301; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.1; Nummer 302; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.18; Nummer 303; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.26; Nummer 304; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.34; Nummer 305; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.42; Nummer 306; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.5; Nummer 307; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.58; Nummer 308; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.65; Nummer 309; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.73; Nummer 310; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.81; Nummer 311; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.88; Nummer 312; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923384.96; Nummer 313; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.03; Nummer 314; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.11; Nummer 315; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.19; Nummer 316; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.26; Nummer 317; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.34; Nummer 318; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.42; Nummer 319; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.5; Nummer 320; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.57; Nummer 321; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.65; Nummer 322; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.73; Nummer 323; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.8; Nummer 324; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.88; Nummer 325; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923385.96; Nummer 326; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.04; Nummer 327; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.11; Nummer 328; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.19; Nummer 329; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.27; Nummer 330; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.35; Nummer 331; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.43; Nummer 332; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.51; Nummer 333; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.58; Nummer 334; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.66; Nummer 335; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.73; Nummer 336; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.81; Nummer 337; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.89; Nummer 338; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923386.96; Nummer 339; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.04; Nummer 340; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.12; Nummer 341; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.19; Nummer 342; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.25; Nummer 343; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.34; Nummer 344; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.42; Nummer 345; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.5; Nummer 346; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.58; Nummer 347; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.66; Nummer 348; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.74; Nummer 349; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.82; Nummer 350; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.9; Nummer 351; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923387.98; Nummer 352; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923388.06; Nummer 353; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923388.14; Nummer 354; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923388.22; Nummer 355; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923388.3; Nummer 356; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923388.38; Nummer 357; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923388.47; Nummer 358; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923388.55; Nummer 359; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923388.64; Nummer 360; ;objekt
